Power,Time,Temperature,Fin Type_Round,Fin Type_Square,Fin Type_Triangular,Configuration_Inline,Configuration_Staggered,PCM_Paraffin,PCM_RT-35,PCM_RT-44
8,46,47.11,1,0,0,1,0,0,1,0
8,48,48.58,1,0,0,1,0,0,1,0
8,50,50.1,1,0,0,1,0,0,1,0
8,52,51.42,1,0,0,1,0,0,1,0
8,54,52.89,1,0,0,1,0,0,1,0
8,56,54.17,1,0,0,1,0,0,1,0
8,58,55.29,1,0,0,1,0,0,1,0
8,60,56.47,1,0,0,1,0,0,1,0
8,62,57.6,1,0,0,1,0,0,1,0
8,64,58.53,1,0,0,1,0,0,1,0
8,66,59.61,1,0,0,1,0,0,1,0
8,68,60.49,1,0,0,1,0,0,1,0
8,70,61.81,1,0,0,1,0,0,1,0
8,72,62.55,1,0,0,1,0,0,1,0
8,74,63.19,1,0,0,1,0,0,1,0
8,76,63.77,1,0,0,1,0,0,1,0
8,78,64.41,1,0,0,1,0,0,1,0
8,80,64.9,1,0,0,1,0,0,1,0
8,82,65.44,1,0,0,1,0,0,1,0
8,84,65.93,1,0,0,1,0,0,1,0
8,86,66.42,1,0,0,1,0,0,1,0
8,88,66.86,1,0,0,1,0,0,1,0
8,90,67.35,1,0,0,1,0,0,1,0
8,0,24.5,1,0,0,1,0,1,0,0
8,2,27.25,1,0,0,1,0,1,0,0
8,4,29.71,1,0,0,1,0,1,0,0
8,6,31.96,1,0,0,1,0,1,0,0
8,8,33.68,1,0,0,1,0,1,0,0
8,10,35.34,1,0,0,1,0,1,0,0
8,12,36.81,1,0,0,1,0,1,0,0
8,14,38.04,1,0,0,1,0,1,0,0
8,16,39.22,1,0,0,1,0,1,0,0
8,18,40.34,1,0,0,1,0,1,0,0
8,20,41.32,1,0,0,1,0,1,0,0
8,22,42.3,1,0,0,1,0,1,0,0
8,24,43.24,1,0,0,1,0,1,0,0
8,26,44.02,1,0,0,1,0,1,0,0
8,28,45.2,1,0,0,1,0,1,0,0
8,30,46.23,1,0,0,1,0,1,0,0
8,32,47.3,1,0,0,1,0,1,0,0
8,34,48.38,1,0,0,1,0,1,0,0
8,36,49.22,1,0,0,1,0,1,0,0
8,38,50.05,1,0,0,1,0,1,0,0
8,40,50.74,1,0,0,1,0,1,0,0
8,42,51.37,1,0,0,1,0,1,0,0
8,44,51.86,1,0,0,1,0,1,0,0
8,46,52.45,1,0,0,1,0,1,0,0
8,48,52.94,1,0,0,1,0,1,0,0
8,50,53.38,1,0,0,1,0,1,0,0
8,52,53.82,1,0,0,1,0,1,0,0
8,54,54.22,1,0,0,1,0,1,0,0
8,56,54.61,1,0,0,1,0,1,0,0
8,58,55.05,1,0,0,1,0,1,0,0
8,60,55.34,1,0,0,1,0,1,0,0
8,62,55.74,1,0,0,1,0,1,0,0
8,64,56.03,1,0,0,1,0,1,0,0
8,66,56.32,1,0,0,1,0,1,0,0
8,68,56.72,1,0,0,1,0,1,0,0
8,70,57.06,1,0,0,1,0,1,0,0
8,72,57.35,1,0,0,1,0,1,0,0
8,74,57.6,1,0,0,1,0,1,0,0
8,76,57.89,1,0,0,1,0,1,0,0
8,78,58.24,1,0,0,1,0,1,0,0
8,80,58.58,1,0,0,1,0,1,0,0
8,82,58.82,1,0,0,1,0,1,0,0
8,84,59.12,1,0,0,1,0,1,0,0
8,86,59.46,1,0,0,1,0,1,0,0
8,88,59.8,1,0,0,1,0,1,0,0
8,90,60.15,1,0,0,1,0,1,0,0
8,0,24.5,1,0,0,0,1,1,0,0
8,2,27.25,1,0,0,0,1,1,0,0
8,4,29.56,1,0,0,0,1,1,0,0
8,6,31.72,1,0,0,0,1,1,0,0
8,8,33.53,1,0,0,0,1,1,0,0
8,10,35.1,1,0,0,0,1,1,0,0
8,12,36.62,1,0,0,0,1,1,0,0
8,14,38.14,1,0,0,0,1,1,0,0
8,16,39.46,1,0,0,0,1,1,0,0
8,18,40.64,1,0,0,0,1,1,0,0
8,20,42.11,1,0,0,0,1,1,0,0
8,22,43.14,1,0,0,0,1,1,0,0
8,24,44.36,1,0,0,0,1,1,0,0
8,26,45.59,1,0,0,0,1,1,0,0
8,28,46.81,1,0,0,0,1,1,0,0
8,30,47.99,1,0,0,0,1,1,0,0
8,32,48.92,1,0,0,0,1,1,0,0
8,34,49.95,1,0,0,0,1,1,0,0
8,36,50.74,1,0,0,0,1,1,0,0
8,38,51.47,1,0,0,0,1,1,0,0
8,40,51.96,1,0,0,0,1,1,0,0
8,42,52.6,1,0,0,0,1,1,0,0
8,44,53.09,1,0,0,0,1,1,0,0
8,46,53.58,1,0,0,0,1,1,0,0
8,48,53.97,1,0,0,0,1,1,0,0
8,50,54.56,1,0,0,0,1,1,0,0
8,52,54.9,1,0,0,0,1,1,0,0
8,54,55.29,1,0,0,0,1,1,0,0
8,56,55.64,1,0,0,0,1,1,0,0
8,58,55.98,1,0,0,0,1,1,0,0
8,60,56.37,1,0,0,0,1,1,0,0
8,62,56.76,1,0,0,0,1,1,0,0
8,64,57.01,1,0,0,0,1,1,0,0
8,66,57.4,1,0,0,0,1,1,0,0
8,68,57.84,1,0,0,0,1,1,0,0
8,70,58.19,1,0,0,0,1,1,0,0
8,72,58.53,1,0,0,0,1,1,0,0
8,74,58.92,1,0,0,0,1,1,0,0
8,76,59.22,1,0,0,0,1,1,0,0
8,78,59.56,1,0,0,0,1,1,0,0
8,80,59.85,1,0,0,0,1,1,0,0
8,82,60.2,1,0,0,0,1,1,0,0
8,84,60.83,1,0,0,0,1,1,0,0
8,86,61.62,1,0,0,0,1,1,0,0
8,88,62.5,1,0,0,0,1,1,0,0
8,90,63.43,1,0,0,0,1,1,0,0
8,0,24.5,1,0,0,0,1,0,0,1
8,2,27.21,1,0,0,0,1,0,0,1
8,4,30.05,1,0,0,0,1,0,0,1
8,6,32.4,1,0,0,0,1,0,0,1
8,8,34.41,1,0,0,0,1,0,0,1
8,10,36.52,1,0,0,0,1,0,0,1
8,12,38.28,1,0,0,0,1,0,0,1
8,14,39.85,1,0,0,0,1,0,0,1
8,16,41.13,1,0,0,0,1,0,0,1
8,18,42.21,1,0,0,0,1,0,0,1
8,20,42.89,1,0,0,0,1,0,0,1
8,22,43.24,1,0,0,0,1,0,0,1
8,24,43.58,1,0,0,0,1,0,0,1
8,26,43.92,1,0,0,0,1,0,0,1
8,28,44.22,1,0,0,0,1,0,0,1
8,30,44.41,1,0,0,0,1,0,0,1
8,32,44.66,1,0,0,0,1,0,0,1
8,34,44.9,1,0,0,0,1,0,0,1
8,36,45.15,1,0,0,0,1,0,0,1
8,38,45.39,1,0,0,0,1,0,0,1
8,40,45.59,1,0,0,0,1,0,0,1
8,42,45.88,1,0,0,0,1,0,0,1
8,44,46.18,1,0,0,0,1,0,0,1
8,46,46.52,1,0,0,0,1,0,0,1
8,48,46.81,1,0,0,0,1,0,0,1
8,50,47.21,1,0,0,0,1,0,0,1
8,52,47.55,1,0,0,0,1,0,0,1
8,54,47.94,1,0,0,0,1,0,0,1
8,56,48.33,1,0,0,0,1,0,0,1
8,58,48.82,1,0,0,0,1,0,0,1
8,60,49.51,1,0,0,0,1,0,0,1
8,62,50.93,1,0,0,0,1,0,0,1
8,64,52.21,1,0,0,0,1,0,0,1
8,66,53.68,1,0,0,0,1,0,0,1
8,68,54.95,1,0,0,0,1,0,0,1
8,70,56.13,1,0,0,0,1,0,0,1
8,72,57.21,1,0,0,0,1,0,0,1
8,74,58.24,1,0,0,0,1,0,0,1
8,76,59.31,1,0,0,0,1,0,0,1
8,78,60.2,1,0,0,0,1,0,0,1
8,80,61.08,1,0,0,0,1,0,0,1
8,82,61.96,1,0,0,0,1,0,0,1
8,84,62.7,1,0,0,0,1,0,0,1
8,86,63.48,1,0,0,0,1,0,0,1
8,88,64.17,1,0,0,0,1,0,0,1
8,90,64.8,1,0,0,0,1,0,0,1
8,0,24.5,1,0,0,0,1,0,1,0
8,2,27.11,1,0,0,0,1,0,1,0
8,4,29.22,1,0,0,0,1,0,1,0
8,6,31.13,1,0,0,0,1,0,1,0
8,8,32.55,1,0,0,0,1,0,1,0
8,10,33.48,1,0,0,0,1,0,1,0
8,12,34.17,1,0,0,0,1,0,1,0
8,14,34.75,1,0,0,0,1,0,1,0
8,16,35.29,1,0,0,0,1,0,1,0
8,18,35.88,1,0,0,0,1,0,1,0
8,20,36.72,1,0,0,0,1,0,1,0
8,22,37.35,1,0,0,0,1,0,1,0
8,24,38.04,1,0,0,0,1,0,1,0
8,26,38.68,1,0,0,0,1,0,1,0
8,28,39.26,1,0,0,0,1,0,1,0
8,30,39.66,1,0,0,0,1,0,1,0
8,32,40.1,1,0,0,0,1,0,1,0
8,34,41.27,1,0,0,0,1,0,1,0
8,36,43.19,1,0,0,0,1,0,1,0
8,38,45.0,1,0,0,0,1,0,1,0
8,40,46.67,1,0,0,0,1,0,1,0
8,42,48.14,1,0,0,0,1,0,1,0
8,44,49.46,1,0,0,0,1,0,1,0
8,46,50.78,1,0,0,0,1,0,1,0
8,48,51.96,1,0,0,0,1,0,1,0
8,50,53.09,1,0,0,0,1,0,1,0
8,52,54.17,1,0,0,0,1,0,1,0
